archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
43.2,0,0,0,10300,테니스장대기실, ,0251,21,20181225, ,0,0, ,0,운동시설,스라브,철근콘크리트조,0,0, ,1,3.75,0,0,0,0,0,0,0, ,0000, ,0,주건축물,05000,문화및집회시설,44133-7170,10301,208.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 208,0,1623,0,0,0,0,충청남도 천안시 서북구 백석동 251번지, , , , , , ,1,일반,2,일반건축물,2,189,10,(철근)콘크리트, ,0,44133, ,19981207,21,철근콘크리트구조,43.2,43.2,0,20011228,0,43.2
3965.07,0,0,0,10300,실내테니스장, ,0251,21,20190530, ,0,0, ,0,운동시설,판넬,일반철골구조,0,0, ,2,17,0,0,0,0,0,0,0, ,0000, ,0,주건축물,13000,운동시설,44133-100259082,10301,208.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 208,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20121205,5100,협의건축물,4490244,건축과,2012,1,일반,2,일반건축물,0,190,90,기타지붕, ,1,44133, ,20130323,31,일반철골구조,4261.69,4261.69,1,20131231,0,4130.48
7880.87,0,0,0,10300,실내체육관, ,0251,21,20200518, ,0,0, ,0,운동시설,철판,"철근콘크리트조, 철골조",0,0, ,3,20.2,0,0,0,0,0,0,0, ,0000, ,0,주건축물,05000,문화및집회시설,44133-7173,10301,208.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 208,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지, , , , , , ,1,일반,2,일반건축물,0,191,90,기타지붕, ,0,44133, ,19990726,21,철근콘크리트구조,13665.9,13665.9,1,20011228,0,11388.9
132.48,0,0,0,10300,설비동, ,0251,0,20211029, ,0,0, ,0,제1종근린생활시설(전기실),(철근)콘크리트,철근콘크리트구조,0,0, ,1,5.8,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-100439654,10301,251.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 251,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20210831,5100,협의건축물,4490136,건축과,2021,1,일반,2,일반건축물,0,192,10,(철근)콘크리트, ,0,44133, ,20210923,21,철근콘크리트구조,132.48,132.48,0,20211020,0,132.48
374.75,0,0,0,10300,차량진입램프, ,0251,0,20211029, ,0,0, ,0,제1종근린생활시설(차량진입램프),기타지붕,경량철골구조,0,0, ,1,6.45,0,0,0,0,0,0,0, ,0000, ,1,부속건축물,03000,제1종근린생활시설,44133-100439634,10301,208.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 208,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20210831,5100,협의건축물,5660032,건축과,2021,1,일반,2,일반건축물,0,193,90,기타지붕, ,0,44133, ,20210923,32,경량철골구조,374.75,374.75,0,20211020,0,374.75
35,0,0,0,10300,수소충전소, ,0251,89,20211101, ,0,0, ,0,수소충전소,기타지붕,일반철골구조,0,0, ,1,3.95,0,0,0,0,0,0,0, ,0000, ,0,주건축물,19000,위험물저장및처리시설,44133-100437175,10301,158.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 158,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20201231,5200,공용건축물,5660032,건축과,2020,1,일반,2,일반건축물,0,194,90,기타지붕,VII-01728g,1,44133, ,20210118,31,일반철골구조,35,35,0,20210830,0,35
499.28,0,0,0,10300,수소충전소, ,0251,89,20211101, ,0,0, ,0,수소충전소,기타지붕,일반철골구조,0,0, ,1,6.85,0,0,0,0,0,0,0, ,0000, ,0,주건축물,19000,위험물저장및처리시설,44133-100437174,10301,158.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 158,25,2,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20201231,5200,공용건축물,5660032,건축과,2020,1,일반,2,일반건축물,0,195,90,기타지붕,VII-0.1728g,1,44133, ,20210118,31,일반철골구조,499.28,499.28,0,20210830,0,499.28
62.55,0,0,0,10300,수소충전소, ,0251,0,20220117, ,0,0, ,0,수소충전소,기타지붕,일반철골구조,0,0, ,1,5.1,0,0,0,0,0,0,0, ,0000, ,1,부속건축물,19000,위험물저장및처리시설,44133-100437176,10301,158.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 158,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20201231,5200,공용건축물,5660032,건축과,2020,1,일반,2,일반건축물,0,196,90,기타지붕,VII-0.1728g,1,44133, ,20210118,31,일반철골구조,62.55,62.55,0,20210830,0,62.55
12.5,0,0,0,10300,창고, ,0251,89,20220310, ,0,0, ,0,수소충전소(창고),기타지붕,일반철골구조,0,0, ,1,12.5,0,0,0,0,0,0,0, ,0000, ,0,주건축물,19000,위험물저장및처리시설,44133-100443414,10301,158.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 158,25,2,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20211220,5200,공용건축물,5660032,건축과,2021,1,일반,2,일반건축물,0,197,90,기타지붕, ,0,44133, ,20211223,31,일반철골구조,12.5,12.5,0,20211230,0,12.5
696.83,0,0,0,10300,로컬푸드직매장, ,0251,78,20220930, ,0,0, ,0,제1종근린생활시설(소매점),(철근)콘크리트,철근콘크리트구조,0,0, ,2,13.6,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-1000000000000000107891,10301,208.0,441333250021,0.0,0, 충청남도 천안시 서북구 번영로 208,125,10,0,0,0,0,충청남도 천안시 서북구 백석동 251번지,20211119,1102,증축허가,4490136,건축과,2021,1,일반,2,일반건축물,1,198,10,(철근)콘크리트, ,0,44133, ,20220217,21,철근콘크리트구조,998.78,998.78,0,20220901,0,998.78
4438.42,0,0,0,10300, , ,0255,3,20171118, ,0,0, ,0,"주택, 계분처리장, 계사, 부화장, 종사, 창고","스라브, 스레이트, 판넬","세멘벽돌조, 경량철골조, 목조, 세멘블럭조, 철근콘크리트조",1,0, ,1,0,0,0,0,0,0,0,0, ,0005, ,0,주건축물,21000,동.식물관련시설,44133-29793, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 255-5번지,19780929, , , , , ,1,일반,2,일반건축물,0,199,10,(철근)콘크리트, , ,44133, , ,51,일반목구조,4470.76,4470.76,1,19800404,0,4438.42
72.45,0,0,0,10300, , ,0260,0,20170308, ,0,0, ,0,주택,스레이트,시멘트벽돌조,1,0, ,1,0,0,0,0,0,0,0,0, ,0001, ,0,주건축물,01000,단독주택,44133-60839, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 260-1번지,19880401, , , , , ,1,일반,2,일반건축물,0,200,30,슬레이트, , ,44133, , ,11,벽돌구조,72.45,72.45,0,19890619,0,72.45
344,0,0,34.82,10300, , ,0262,0,20211101,1동,0,0, ,0,제2종근린생활시설,샌드위치판넬,일반철골구조,0,0, ,2,12.7,0,0,0,0,0,0,0, ,0010, ,0,주건축물,04000,제2종근린생활시설,44133-100378235,10301,233.0,441333250036,0.0,0, 충청남도 천안시 서북구 시청로 233,46,4,0,0,988,0,충청남도 천안시 서북구 백석동 262-10번지,20180822,1101,신축허가,5660032,건축과,2018,1,일반,2,일반건축물,0,201,90,기타지붕,Ⅶ-0.214g,1,44133, ,20180831,31,일반철골구조,648,648,0,20181113,65.59,648
230.4,0,0,0,10300, , ,0262,1,20190530,2,0,0, ,0,제1종근린생활시설(소매점),샌드위치판넬,일반철골구조,0,0, ,1,6,0,0,0,0,0,0,0, ,0014, ,0,주건축물,03000,제1종근린생활시설,44133-21635,10302,48.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 48,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 262-14번지,20051229,1101,신축허가,4490193,건축과,2005,1,일반,2,일반건축물,0,202,90,기타지붕, ,0,44133, ,20060217,31,일반철골구조,230.4,230.4,0,20060705,0,230.4
229.22,0,0,0,10300, , ,0262,1,20190530,3,0,0, ,0,제1종근린생활시설(소매점),샌드위치판넬,일반철골구조,0,0, ,1,6,0,0,0,0,0,0,0, ,0014, ,0,주건축물,03000,제1종근린생활시설,44133-21637,10302,48.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 48,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 262-14번지,20051229,1101,신축허가,4490193,건축과,2005,1,일반,2,일반건축물,0,203,90,기타지붕, ,0,44133, ,20060217,31,일반철골구조,229.22,229.22,0,20060705,0,229.22
230.4,0,0,0,10300, , ,0262,1,20190530,4,0,0, ,0,제2종근린생활시설,샌드위치판넬,일반철골구조,0,0, ,1,6,0,0,0,0,0,0,0, ,0014, ,0,주건축물,03000,제1종근린생활시설,44133-21634,10302,48.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 48,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 262-14번지,20051229,1101,신축허가,4490193,건축과,2005,1,일반,2,일반건축물,0,204,90,기타지붕, ,0,44133, ,20060217,31,일반철골구조,230.4,230.4,0,20060705,0,230.4
230.4,0,0,0,10300, , ,0262,1,20190530,1,0,0, ,0,"제1,2종근린생활시설",샌드위치판넬,일반철골구조,0,0, ,1,6,0,0,0,0,0,0,0, ,0014, ,0,주건축물,03000,제1종근린생활시설,44133-21636,10302,48.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 48,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 262-14번지,20051229,1101,신축허가,4490193,건축과,2005,1,일반,2,일반건축물,0,205,90,기타지붕, ,0,44133, ,20060217,31,일반철골구조,230.4,230.4,0,20060705,0,230.4
781.13,0,0,35.51,10300, , ,0262,0,20220811,1동,0,0, ,0,"제1,2종근린생활시설",판넬,일반철골구조,0,0, ,2,10.24,0,0,0,0,0,0,0, ,0033, ,0,주건축물,03000,제1종근린생활시설,44133-100196782,10302,46.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 46,92,8,0,0,2200,0,충청남도 천안시 서북구 백석동 262-33번지,20090812,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,206,90,기타지붕, ,0,44133, ,20090819,31,일반철골구조,993.93,993.93,0,20091015,45.18,993.93
307.3,0,0,33.58,10300, , ,0262,0,20190530, ,0,0, ,0,"제2종근린생활시설,단독주택",(철근)콘크리트,철근콘크리트구조,1,0, ,4,16.45,0,0,0,0,0,0,0, ,0036, ,0,주건축물,04000,제2종근린생활시설,44133-100211673,10301,229.0,441333250036,0.0,0, 충청남도 천안시 서북구 시청로 229,103.5,9,0,0,915,0,충청남도 천안시 서북구 백석동 262-36번지,20100304,1101,신축허가,5660007,도시건축과,2010,1,일반,2,일반건축물,1,207,10,(철근)콘크리트, ,1,44133, ,20100312,21,철근콘크리트구조,1154.28,1154.28,0,20100805,126.15,1154.28
299.02,0,0,46.94,10300, , ,0262,0,20200427, ,0,0, ,0,제1종근린생활시설,판넬,일반철골구조,0,0, ,1,6.2,0,0,0,0,0,0,0, ,0037, ,0,주건축물,03000,제1종근린생활시설,44133-100304274,10302,44.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 44,23,2,0,0,637,0,충청남도 천안시 서북구 백석동 262-37번지,20141031,1101,신축허가,5660007,도시건축과,2014,1,일반,2,일반건축물,0,208,90,기타지붕, ,0,44133, ,20160205,31,일반철골구조,299.02,299.02,0,20160411,46.94,299.02
297.6,0,0,44.35,10300, , ,0263,1,20190530,1동,0,0, ,0,"제1,2종근린생활시설",(철근)콘크리트,철근콘크리트구조,0,0, ,3,11.03,0,0,0,0,0,0,0, ,0001, ,0,주건축물,04000,제2종근린생활시설,44133-100193988,10301,227.0,441333250036,0.0,0, 충청남도 천안시 서북구 시청로 227,57.5,5,0,0,671,0,충청남도 천안시 서북구 백석동 263-1번지,20090414,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,209,10,(철근)콘크리트, ,1,44133, ,20090424,21,철근콘크리트구조,646.84,646.84,0,20090908,96.4,646.84
639.24,0,0,41.46,10300, , ,0266,0,20200427, ,0,0, ,0,제1종근린생활시설,(철근)콘크리트,일반철골구조,0,0, ,1,6.1,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-100205424,10301,43.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 43,103.5,9,0,0,1542,0,충청남도 천안시 서북구 백석동 266번지,20090821,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,210,10,(철근)콘크리트, ,0,44133, ,20091009,31,일반철골구조,638.54,638.54,0,20100415,41.41,638.54
194.82,0,0,0,10300, , ,0268,0,20171118, ,0,0, ,0,"주택, 창고, 축사","스라브, 스레이트","시멘트벽돌조, 시멘트블럭조, 철근콘크리트조",1,0, ,1,0,0,0,0,0,0,0,0, ,0001, ,0,주건축물,21000,동.식물관련시설,44133-33509, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 268-1번지,19870928, , , , , ,1,일반,2,일반건축물,0,211,30,슬레이트, , ,44133, , ,12,블록구조,213.18,213.18,1,19880514,0,194.82
209.68,0,0,21.66,10300, , ,0268,0,20220808, ,0,0, ,0,"위험물저장및처리시설,제1종근린생활시설",철근콘크리트(철판),일반철골구조,0,0, ,2,8.35,0,0,0,0,0,0,0, ,0002, ,0,주건축물,19000,위험물저장및처리시설,44133-100192684,10302,42.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 42,11.5,1,0,0,968,0,충청남도 천안시 서북구 백석동 268-2번지,20090218,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,212,10,(철근)콘크리트, ,0,44133, ,20090331,21,철근콘크리트구조,289.58,289.58,0,20090806,29.92,289.58
216.5,0,0,0,10300, , ,0268,0,20181220,2동,0,0, ,0,제2종근린생활시설,기타지붕(패널),일반철골구조,0,0, ,2,8,0,0,0,0,0,0,0, ,0005, ,0,주건축물,04000,제2종근린생활시설,44133-100282790,10302,40.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 40,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 268-5번지,20141211,1101,신축허가,5660007,도시건축과,2014,1,일반,2,일반건축물,0,213,90,기타지붕, ,0,44133, ,20150210,31,일반철골구조,261.5,261.5,0,20150403,0,261.5
375,216.5,1,0,10300, , ,0268,0,20181220,1동,0,0, ,0,제2종근린생활시설,기타지붕(패널),일반철골구조,0,0, ,2,8,0,0,0,0,0,0,0, ,0005, ,0,주건축물,04000,제2종근린생활시설,44133-100282789,10302,40.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 40,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 268-5번지,20141211,1101,신축허가,5660007,도시건축과,2014,1,일반,2,일반건축물,0,214,90,기타지붕, ,0,44133, ,20150210,31,일반철골구조,423,423,0,20150403,0,423
68.37,0,0,0,10300, , ,0269,3,20171118,3,0,0, ,0,제2종근린생활시설,철판,경량철골구조,0,0, ,1,0,0,0,0,0,0,0,0, ,0000, ,0,주건축물,04000,제2종근린생활시설,44133-22365,10302,36.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 36,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 269번지, , , , , , ,1,일반,2,일반건축물,0,215,90,기타지붕, , ,44133,충청남도 천안시 백석동 269노트, ,32,경량철골구조,68.37,68.37,0,20040413,0,68.37
121.36,0,0,0,10300, , ,0269,3,20171118,2,0,0, ,0,제2종근린생활시설,철판,경량철골구조,0,0, ,1,0,0,0,0,0,0,0,0, ,0000, ,0,주건축물,04000,제2종근린생활시설,44133-22366,10302,36.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 36,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 269번지,20021226, , , , , ,1,일반,2,일반건축물,0,216,90,기타지붕, , ,44133,충청남도 천안시 백석동 269노트,20030217,32,경량철골구조,121.36,121.36,0,20030324,0,121.36
185.13,0,0,19.63,10300, , ,0269,3,20171118,1,0,0, ,0,제1종근린생활시설,스라브,철근콘크리트조,0,0, ,3,15.15,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-22367,10302,36.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 36,0,0,0,0,943,0,충청남도 천안시 서북구 백석동 269번지, , , , , , ,1,일반,2,일반건축물,0,217,10,(철근)콘크리트, , ,44133,충청남도 천안시 백석동 269노트, ,21,철근콘크리트구조,555.39,623.76,0,20040414,58.9,555.39
5.4,0,0,0,10300, , ,0269,3,20180918,4,0,0, ,0, ,철판,경량철골구조,0,0, ,1,0,0,0,0,0,0,0,0, ,0000, ,1,부속건축물,04000,제2종근린생활시설,44133-22364,10302,36.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 36,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 269번지, , , , , , ,1,일반,2,일반건축물,0,218,90,기타지붕, ,0,44133,충청남도 천안시 백석동 269노트, ,32,경량철골구조,5.4,5.4,0,20040413,0,5.4
360,0,0,11.66,10300, , ,0270,0,20191008,1동,0,0, ,0,제2종근린생활시설,판넬,경량철골구조,0,0, ,1,5.6,0,0,0,0,0,0,0, ,0000, ,0,주건축물,04000,제2종근린생활시설,44133-100179026,10301,39.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 39,34.5,3,0,0,3087,0,충청남도 천안시 서북구 백석동 270번지,20051228,1101,신축허가,4490193,건축과,2005,1,일반,2,일반건축물,0,219,90,기타지붕, ,0,44133, ,20071030,32,경량철골구조,360,360,0,20080312,11.66,360
736.82,0,0,52.15,10300, , ,0270,0,20180324, ,0,0, ,0,"제1,2종근린생활시설",(철근)콘크리트,일반철골구조,0,0, ,3,12.9,0,0,23,2,0,0,0, ,0006, ,0,주건축물,03000,제1종근린생활시설,44133-100345637,10301,35.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 35,162.7,14,0,0,1413,0,충청남도 천안시 서북구 백석동 270-6번지,20160803,1101,신축허가,4490325,건축과,2016,1,일반,2,일반건축물,1,220,10,(철근)콘크리트, ,1,44133, ,20161227,31,일반철골구조,2153.08,2153.08,0,20171101,152.38,2153.08
132.27,0,0,35.37,10300, , ,0274,1,20220808,1동,0,0, ,0,단독주택,샌드위치판넬,경량철골구조,1,0, ,1,6.95,0,0,0,0,0,0,0, ,0000, ,0,주건축물,01000,단독주택,44133-1000000000000000043218,10301,33.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 33,12.5,1,0,0,374,0,충청남도 천안시 서북구 백석동 274번지,20210924,1101,신축허가,5660032,건축과,2021,1,일반,2,일반건축물,0,221,90,기타지붕,Ⅶ-0.168g,1,44133, ,20220221,32,경량철골구조,132.27,132.27,0,20220801,35.37,132.27
467.28,0,0,16.76,10300, , ,0275,4,20220801,1동,0,0, ,0,"제1,2종근린생활시설",기타지붕,일반철골구조,0,0, ,1,6.2,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-59227,10301,29.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 29,34.5,3,0,0,2788,0,충청남도 천안시 서북구 백석동 275번지,20040614,1101,신축허가,4490136,건축과,2004,1,일반,2,일반건축물,0,222,90,기타지붕, ,0,44133, ,20060407,31,일반철골구조,467.28,467.28,0,20060915,16.76,467.28
195.74,0,0,47.28,10300, , ,0284,0,20191028,1동,0,0, ,0,"제1,2종근린생활시설",(철근)콘크리트,일반철골구조,0,0, ,3,10.9,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-48773,10301,25.0,441333250018,0.0,0, 충청남도 천안시 서북구 백석3로 25,34.5,3,0,0,414,0,충청남도 천안시 서북구 백석동 284번지,20040624,1101,신축허가,4490136,건축과,2004,1,일반,2,일반건축물,0,223,10,(철근)콘크리트, ,0,44133, ,20040812,31,일반철골구조,383.84,383.84,0,20070118,92.71,383.84
297.95,0,0,30.56,10300, , ,0290,0,20181220, ,0,0, ,0,제2종근린생활시설,기타지붕(판넬),일반철골구조,0,0, ,1,5.4,0,0,0,0,0,0,0, ,0003, ,0,주건축물,04000,제2종근린생활시설,44133-100252542,10301,13.0,441333250018,6.0,0, 충청남도 천안시 서북구 백석3로 13-6,46,4,0,0,975,0,충청남도 천안시 서북구 백석동 290-3번지,20130401,1101,신축허가,5660007,도시건축과,2013,1,일반,2,일반건축물,0,224,90,기타지붕, ,0,44133, ,20130403,31,일반철골구조,297.95,297.95,0,20130813,30.56,297.95
144.625,0,0,18.73,10300, , ,0291,0,20170215, ,0,0, ,0,근린생활시설,철판,경량철골조,0,0, ,1,4.5,0,0,0,0,0,0,0, ,0006, ,0,주건축물,04000,제2종근린생활시설,44133-62464,10301,13.0,441333250018,2.0,0, 충청남도 천안시 서북구 백석3로 13-2,23,2,0,0,772,0,충청남도 천안시 서북구 백석동 291-6번지,19990225, , , , , ,1,일반,2,일반건축물,0,225,90,기타지붕, , ,44133, ,19990302,32,경량철골구조,144.625,144.625,0,19990412,18.73,144.625
82.8,0,0,0,10300,백광빌딩, ,0292,1,20170223,3,0,0, ,0,제1종근린생활시설,판넬,경량철골구조,0,0, ,1,4,0,0,0,0,0,0,0, ,0001, ,0,주건축물,03000,제1종근린생활시설,44133-17663,10301,13.0,441333250018,8.0,0, 충청남도 천안시 서북구 백석3로 13-8,92,8,0,0,0,0,충청남도 천안시 서북구 백석동 292-1번지,20070720,1202,증축신고,4490212,건축과,2007,1,일반,2,일반건축물,0,226,90,기타지붕, , ,44133, ,20070726,32,경량철골구조,82.8,82.8,0,20070824,0,82.8
18,0,0,0,10300,백광빌딩, ,0292,1,20170223,2,0,0, ,0,창고시설,샌드위치판넬,경량철골구조,0,0, ,1,3,0,0,0,0,0,0,0, ,0001, ,0,주건축물,18000,창고시설,44133-17661,10301,13.0,441333250018,8.0,0, 충청남도 천안시 서북구 백석3로 13-8,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 292-1번지,20060707,1101,신축허가,4490193,건축과,2006,1,일반,2,일반건축물,0,227,90,기타지붕, , ,44133, ,20060718,32,경량철골구조,18,18,0,20070514,0,18
238.44,0,0,0,10300,백광빌딩, ,0292,1,20201218,1,1,0, ,0,"제2종근린생활시설,단독주택",(철근)콘크리트,철근콘크리트구조,1,0, ,4,18.6,0,0,0,0,0,0,0, ,0001, ,0,주건축물,04000,제2종근린생활시설,44133-17662,10301,13.0,441333250018,8.0,0, 충청남도 천안시 서북구 백석3로 13-8,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 292-1번지,20060707,1101,신축허가,4490193,건축과,2006,1,일반,2,일반건축물,0,228,10,(철근)콘크리트, ,1,44133, ,20060718,21,철근콘크리트구조,920.83,920.83,0,20070514,0,920.83
333.42,0,0,0,10300, , ,0292,2,20171205,1동,0,0, ,0,제1종근린생활시설,기타지붕(사이딩판넬),경량철골구조,0,0, ,1,4.95,0,0,0,0,0,0,0, ,0003, ,0,주건축물,03000,제1종근린생활시설,44133-49474,10302,8.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 8,34.5,3,0,0,0,0,충청남도 천안시 서북구 백석동 292-3번지,20050610,1101,신축허가,4490136,건축과,2005,1,일반,2,일반건축물,0,229,90,기타지붕, , ,44133, , ,32,경량철골구조,333.42,333.42,0,20051011,0,333.42
132.92,0,0,0,10300, , ,0292,2,20190530,2동,0,0, ,0,사무소,(철근)콘크리트,철근콘크리트구조,0,0, ,3,12.2,0,0,0,0,0,0,0, ,0003, ,0,주건축물,04000,제2종근린생활시설,44133-100185884,10302,10.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 10,57.5,5,0,0,0,0,충청남도 천안시 서북구 백석동 292-3번지,20080422,1102,증축허가,4490212,건축과,2008,1,일반,2,일반건축물,0,230,10,(철근)콘크리트, ,1,44133, ,20080516,21,철근콘크리트구조,398.76,398.76,0,20090106,0,398.76
322.57,0,0,52.45,10300, , ,0292,0,20200427,1동,0,0, ,0,제2종근린생활시설,판넬,경량철골구조,0,0, ,1,5.85,0,0,0,0,0,0,0, ,0006, ,0,주건축물,04000,제2종근린생활시설,44133-100190929,10301,13.0,441333250018,7.0,0, 충청남도 천안시 서북구 백석3로 13-7,23,2,0,0,615,0,충청남도 천안시 서북구 백석동 292-6번지,20090305,1101,신축허가,5660007,도시건축과,2009,1,일반,2,일반건축물,0,231,90,기타지붕, ,0,44133, ,20090310,32,경량철골구조,322.57,322.57,0,20090603,52.45,322.57
49.6,0,0,0,10300,1동, ,0293,0,20171118, ,0,0, ,0,단독주택,스레이트,"토담조, 시멘트벽돌조",0,0, ,1,4,0,0,0,0,0,0,0, ,0000, ,0,주건축물,04000,제2종근린생활시설,44133-20143,10302,18.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 18,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 293번지, , , , , , ,1,일반,2,일반건축물,0,232,30,슬레이트, , ,44133, , ,19,기타조적구조,49.6,49.6,0,19440905,0,49.6
136.56,0,0,37.93,10300, , ,0296,0,20171118, ,0,0, ,0,"근린생활시설, 단독주택",스라브,철골조,0,0, ,2,8.1,0,0,0,0,0,0,0, ,0000, ,0,주건축물,03000,제1종근린생활시설,44133-54437,10302,23.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 23,23,2,0,0,360,0,충청남도 천안시 서북구 백석동 296번지,19980608, , , , , ,1,일반,2,일반건축물,0,233,10,(철근)콘크리트, , ,44133, ,19990329,31,일반철골구조,261.72,261.72,0,19990918,72.7,261.72
107.44,0,0,0,10300, , ,0297,0,20111117, ,0,0, ,0,주택,스라브,"시멘트벽돌조, 철근콘크리트조",1,0, ,2,0,0,0,0,0,0,0,0, ,0001, ,0,주건축물,01000,단독주택,44133-34093,10302,19.0,441333015009,0.0,0, 충청남도 천안시 서북구 백석로 19,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 297-1번지,19910225, , , , , ,1,일반,2,일반건축물,0,234,10,(철근)콘크리트, , ,44133, , ,11,벽돌구조,197.2,197.2,1,19910926,0,185.32
94.1,0,0,0,10300, , ,0299,0,20111124, ,0,0, ,0,공장,아연도판,목조,0,0, ,1,0,0,0,0,0,0,0,0, ,0001, ,0,주건축물,17000,공장,44133-66590,10302,17.0,441333015009,3.0,0, 충청남도 천안시 서북구 백석로 17-3,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 299-1번지, , , , , , ,1,일반,2,일반건축물,0,235,90,기타지붕, , ,44133, , ,51,일반목구조,94.1,94.1,0,19640829,0,94.1
