archArea,atchBldArea,atchBldCnt,bcRat,bjdongCd,bldNm,block,bun,bylotCnt,crtnDay,dongNm,emgenUseElvtCnt,engrEpi,engrGrade,engrRat,etcPurps,etcRoof,etcStrct,fmlyCnt,gnBldCert,gnBldGrade,grndFlrCnt,heit,hhldCnt,hoCnt,indrAutoArea,indrAutoUtcnt,indrMechArea,indrMechUtcnt,itgBldCert,itgBldGrade,ji,lot,mainAtchGbCd,mainAtchGbCdNm,mainPurpsCd,mainPurpsCdNm,mgmBldrgstPk,naBjdongCd,naMainBun,naRoadCd,naSubBun,naUgrndCd,newPlatPlc,oudrAutoArea,oudrAutoUtcnt,oudrMechArea,oudrMechUtcnt,platArea,platGbCd,platPlc,pmsDay,pmsnoGbCd,pmsnoGbCdNm,pmsnoKikCd,pmsnoKikCdNm,pmsnoYear,regstrGbCd,regstrGbCdNm,regstrKindCd,regstrKindCdNm,rideUseElvtCnt,rnum,roofCd,roofCdNm,rserthqkAblty,rserthqkDsgnApplyYn,sigunguCd,splotNm,stcnsDay,strctCd,strctCdNm,totArea,totDongTotArea,ugrndFlrCnt,useAprDay,vlRat,vlRatEstmTotArea
64.62,0,0,59.83,10300, , ,0009,0,20200427, ,0,0, ,0,제1종근린생활시설,기타지붕(조립식판넬),일반철골구조,0,0, ,2,8.9,0,0,0,0,0,0,0, ,0019, ,0,주건축물,03000,제1종근린생활시설,44133-100270843,10301,7.0,441333250048,0.0,0, 충청남도 천안시 서북구 한들3로 7,0,0,0,0,108,0,충청남도 천안시 서북구 백석동 9-19번지,20140430,1101,신축허가,5660007,도시건축과,2014,1,일반,2,일반건축물,0,11,90,기타지붕, ,0,44133, ,20140602,31,일반철골구조,129.24,129.24,0,20140821,119.67,129.24
123.36,0,0,59.31,10300, , ,0009,0,20200427, ,0,0, ,0,제1종근린생활시설,기타지붕(일반철골구조),일반철골구조,0,0, ,2,10.4,0,0,0,0,0,0,0, ,0021, ,0,주건축물,03000,제1종근린생활시설,44133-100296874,10302,9.0,441332250001,0.0,0, 충청남도 천안시 서북구 동서대로 9,23,2,0,0,208,0,충청남도 천안시 서북구 백석동 9-21번지,20150804,1101,신축허가,5660007,도시건축과,2015,1,일반,2,일반건축물,0,12,90,기타지붕, ,0,44133, ,20150831,31,일반철골구조,246.72,246.72,0,20151216,118.62,246.72
356.68,0,0,18.92,10300, , ,0011,0,20170209, ,0,0, ,0,근린생활시설,스라브,철근콘크리트구조,0,0, ,5,20.5,0,0,0,0,0,0,0, ,0000, ,0,주건축물,Z3000,근린생활시설,44133-52627,10302,17.0,441332250001,17.0,0, 충청남도 천안시 서북구 동서대로 17-17,338.5,29,0,0,1885,0,충청남도 천안시 서북구 백석동 11번지,20030115, , , , , ,1,일반,2,일반건축물,0,13,10,(철근)콘크리트, , ,44133, ,20031122,21,철근콘크리트구조,1857.29,1857.29,1,20041221,79.86,1505.32
139.83,0,0,0,10300, , ,0011,0,20200414,다윗가정,0,0, ,0,단독주택,(철근)콘크리트,철근콘크리트구조,1,0, ,2,7.88,0,0,0,0,0,0,0, ,0002, ,0,주건축물,01000,단독주택,44133-100407194,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,690,60,0,0,0,0,충청남도 천안시 서북구 백석동 11-2번지,20040921,1101,신축허가, , ,2004,1,일반,2,일반건축물,0,14,10,(철근)콘크리트, ,0,44133, ,20050603,21,철근콘크리트구조,197.19,197.19,0,20071023,0,197.19
221.91,39.38,1,0,10300,외국인쉼터, ,0011,0,20200923, ,0,0, ,0,"단독주택, 제2종근린생활시설",(철근)콘크리트,철근콘크리트구조,6,0, ,2,7.8,0,1,0,0,0,0,0, ,0002, ,0,주건축물,01000,단독주택,44133-66593,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,415.58,20,0,0,0,0,충청남도 천안시 서북구 백석동 11-2번지,20171017,1102,증축허가, , ,2017,1,일반,2,일반건축물,0,15,10,(철근)콘크리트,VII-0.218g,1,44133, ,20171106,21,철근콘크리트구조,412.71,412.71,0,20200410,0,412.71
165.5,0,0,0,10300,중앙파랑새지역아동센터, ,0011,0,20220825,2동,0,0, ,0,"지역아동센터,사무소",(철근)콘크리트,철근콘크리트구조,0,0, ,2,9.4,0,0,0,0,0,0,0, ,0002, ,0,주건축물,03000,제1종근린생활시설,44133-100179585,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,693.5,59,0,0,0,0,충청남도 천안시 서북구 백석동 11-2번지,20071116,1102,증축허가,4490212,건축과,2007,1,일반,2,일반건축물,0,16,10,(철근)콘크리트, ,0,44133, ,20071122,21,철근콘크리트구조,307.18,307.18,0,20080408,0,307.18
155.4,0,0,0,10300, , ,0011,0,20171118, ,0,0, ,0,축사,스레이트,시멘트블럭조,0,0, ,1,0,0,0,0,0,0,0,0, ,0003, ,0,주건축물,21000,동.식물관련시설,44133-28131, ,0.0, ,0.0,0, ,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-3번지,19740205, , , , , ,1,일반,2,일반건축물,0,17,30,슬레이트, , ,44133, , ,12,블록구조,155.4,155.4,0,19740918,0,155.4
63.57,0,0,19.2636,10300, , ,0011,0,20200427,1동,0,0, ,0,다가구주택,판넬,경량철골구조,2,0, ,1,4.5,0,0,0,0,0,0,0, ,0009, ,0,주건축물,01000,단독주택,44133-100190427,10302,17.0,441332250001,13.0,0, 충청남도 천안시 서북구 동서대로 17-13,23,2,0,0,330,0,충청남도 천안시 서북구 백석동 11-9번지,20051110,1201,신축신고,4490193,건축과,2005,1,일반,2,일반건축물,0,18,90,기타지붕, ,0,44133, ,20071106,32,경량철골구조,59.49,59.49,0,20090512,18.0273,59.49
1815.83,0,0,0,10300, , ,0011,4,20190226,대예배당,0,0, ,0,종교시설,(철근)콘크리트,철근콘크리트구조,0,0, ,4,30.35,0,0,0,0,0,0,0, ,0012, ,0,주건축물,06000,종교시설,44133-14437,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-12번지,20040916, , , , , ,1,일반,2,일반건축물,0,19,10,(철근)콘크리트, ,0,44133, ,20050804,21,철근콘크리트구조,7501.25,7501.25,1,20070518,0,5355.68
199.98,0,0,0,10300, , ,0011,4,20190323,다동,0,0, ,0,"종교시설, 단독주택",(철근)콘크리트,철근콘크리트구조,1,0, ,4,16.86,0,0,0,0,0,0,0, ,0012, ,0,주건축물,06000,종교시설,44133-14438,10301,21.0,441333250015,0.0,0, 충청남도 천안시 서북구 노태산로 21,0,0,0,0,0,0,충청남도 천안시 서북구 백석동 11-12번지,20020429,1102,증축허가, , ,2002,1,일반,2,일반건축물,0,20,10,(철근)콘크리트, ,0,44133, ,20020507,21,철근콘크리트구조,965.34,965.34,1,20031009,0,761.13
