,as1,as2,as3,as4,bjdCode,kaptCode,kaptName
87,경상북도,포항북구,양덕동,4711312200,A79170604,장량휴먼시아1단지,
88,광주광역시,서구,화정동,2914011900,A50270406,화정광명,
89,서울특별시,금천구,시흥동,1154510300,A15378501,시흥월드메르디앙,
90,경기도,용인수지구,성복동,4146510600,A44898103,엘지빌리지2차,
91,서울특별시,송파구,풍납동,1171010300,A13887403,현대리버빌2차아파트,
92,대구광역시,중구,대신동,2711015400,A70032001,태왕아너스스카이,
93,경상남도,거제시,아주동,4831010500,A65690304,해와루 아파트,
94,울산광역시,남구,삼산동,3114010600,A68081310,아데라움아파트,
95,경기도,안양만안구,안양동,4117110100,A43085501,흥화아파트,
96,부산광역시,중구,대청동1가,2611011600,A60070101,코모도에스테이트,
97,경기도,남양주시,금곡동,4136010300,A47270706,금곡GS,
98,전라북도,익산시,오산면,장신리,4514031022,A57092102,장신휴먼시아3단지
99,서울특별시,서초구,방배동,1165010100,A13783001,방배3차e편한세상,
100,대전광역시,대덕구,법동,3023010800,A30606202,선비마을1,
101,울산광역시,남구,달동,3114010500,A68072401,달동주공3단지,
102,서울특별시,도봉구,방학동,1132010600,A13202308,방학삼익세라믹,
103,울산광역시,남구,무거동,3114010100,A68081219,신복현대아파트,
104,경상북도,안동시,신안동,4717010500,A76014001,신안현대아파트,
105,경기도,이천시,부발읍,신하리,4150025328,A46786302,유승
106,충청남도,논산시,내동,4423010900,A32003004,동신아파트,
107,대구광역시,수성구,범어동,2726010100,A70672608,래미안수성,
108,대전광역시,유성구,도룡동,3020012700,A30534002,연구원현대,
109,경상남도,양산시,물금읍,가촌리,4833025323,A62681106,양산 물금 동일스위트 
110,인천광역시,연수구,옥련동,2818510100,A40671303,옥련백산1차,
111,경기도,용인기흥구,고매동,4146310800,A44690101,매화마을 우남 퍼스트빌,
112,대구광역시,달서구,용산동,2729011100,A70492604,용산2차우방타운,
113,대전광역시,서구,둔산동,3017011200,A30212006,목련,
114,경상북도,경주시,황성동,4713012400,A78075715,황성럭키아파트,
115,경기도,용인기흥구,영덕동,4146311100,A44678708,흥덕마을12단지,
116,경기도,고양일산서구,일산동,4128710100,A41172608,일산태영,
117,경상북도,구미시,원평동,4719010100,A73092101,대영파크에비앙,
118,부산광역시,부산진구,전포동,2623010200,A61404003,양정메트로하이츠,
119,전라북도,익산시,오산면,장신리,4514031022,A57092101,장신휴먼시아2단지
120,인천광역시,서구,마전동,2826011300,A40473123,검단2차아이파크,
121,경상남도,진주시,평거동,4817012600,A66077409,평거휴먼시아4단지,
122,경기도,구리시,수택동,4131010500,A47175801,수택엘지원앙,
123,서울특별시,동작구,사당동,1159010700,A15609005,사당 대림아파트,
124,전라남도,영암군,삼호읍,용앙리,4683025326,A52670302,삼호퀸스빌1차
125,경상남도,창원마산회원구,내서읍,호계리,4812725023,A63078729,마산코오롱하늘채2차아파트
126,전라남도,순천시,가곡동,4615010900,A54008002,가곡신영아파트,
127,강원도,원주시,문막읍,동화리,4213025022,A22080308,문막만도사원
128,서울특별시,강서구,가양동,1150010400,A15780703,가양대림경동,
129,서울특별시,관악구,봉천동,1162010100,A15106101,봉천은천1단지,
130,광주광역시,광산구,송정동,2920010100,A50601012,송정금강아파트,
131,강원도,속초시,교동,4221010600,A21780505,속초현대2차아파트,
132,경상북도,경산시,사동,4729012600,A71277604,사동2지구화성파크드림,
133,경기도,안양동안구,평촌동,4117310300,A43179302,향촌롯데,
134,대전광역시,대덕구,송촌동,3023010700,A30681301,송촌서오,
135,전라남도,영암군,삼호읍,용앙리,4683025326,A52689701,한양파크빌1차
136,대구광역시,수성구,신매동,2726011800,A70617011,아이프라임신매,
137,부산광역시,연제구,연산동,2647010200,A61181004,연산부전타워아파트,
138,부산광역시,동래구,명장동,2626010100,A60780703,명장국제파크아파트,
139,충청북도,청주서원구,개신동,4311210900,A36172709,개신3단지그린빌아파트,
140,서울특별시,동작구,사당동,1159010700,A15681502,사당우성2단지,
141,인천광역시,계양구,효성동,2824510100,A40783206,효성동2차유승아파트,
142,경기도,수원팔달구,화서동,4111513800,A44287004,화서꽃뫼노을마을풍림,
143,인천광역시,연수구,동춘동,2818510500,A40680401,대동,
144,충청남도,논산시,강경읍,산양리,4423025032,A32090101,금강빌리지
145,강원도,동해시,효가동,4217010600,A24016002,동아더프라임 1단지,
146,부산광역시,해운대구,우동,2635010500,A61202009,해운대자이,
147,인천광역시,미추홀구,숭의동,2817710100,A40281301,숭의 한화꿈에그린아파트,
148,경기도,하남시,덕풍동,4145010800,A46572006,덕풍벽산블루밍,
149,인천광역시,부평구,삼산동,2823710500,A40309005,삼산미래타운1단지,
150,경상남도,진주시,평거동,4817012600,A66099105,평거주공1차,
151,전라남도,영암군,삼호읍,용앙리,4683025326,A52689703,대불금호아파트
152,서울특별시,마포구,신수동,1144011100,A12185606,마포신촌삼익아파트,
153,경기도,용인수지구,죽전동,4146510200,A44816005,내대지마을주공5단지,
154,경상북도,경산시,사동,4729012600,A71277602,사동휴먼시아1단지,
155,경기도,고양덕양구,주교동,4128110100,A41281001,주교우림루미아트,
156,인천광역시,남동구,구월동,2820010100,A40576101,구월 힐스테이트&롯데캐슬골드,
157,서울특별시,강북구,미아동,1130510100,A14272305,벽산라이브파크,
158,경기도,평택시,비전동,4122011800,A45072407,동아모란,
159,서울특별시,서초구,서초동,1165010800,A13772801,서초현대아파트,
160,경기도,시흥시,정왕동,4139013200,A42978807,시화한신,
161,서울특별시,도봉구,방학동,1132010600,A13276414,방학신동아3단지,
162,인천광역시,부평구,산곡동,2823710300,A40383301,산곡2차현대,
163,대구광역시,달서구,도원동,2729011600,A70479407,대곡2단지미리샘마을,
164,경상남도,거제시,문동동,4831011100,A65691602,대아푸른솔마을,
165,서울특별시,강서구,등촌동,1150010200,A15772901,등촌우성101동,
166,경기도,파주시,금촌동,4148010100,A41382602,새꽃마을주공3단지,
167,경기도,수원영통구,매탄동,4111710100,A44371608,매탄성일,
168,경기도,남양주시,호평동,4136010100,A47278910,호평동원로얄듀크,
169,경기도,고양일산동구,마두동,4128510500,A41081005,마두백마마을2단지극동삼환,
170,서울특별시,강남구,삼성동,1168010500,A13550701,삼성동중앙하이츠빌리지,
171,경기도,광명시,소하동,4121010400,A42386002,소하우림필유,
172,경기도,수원권선구,권선동,4111313700,A44172325,권선현대,
173,서울특별시,송파구,마천동,1171011400,A13812002,마천금호,
174,강원도,인제군,인제읍,상동리,4281025021,A25280601,내설악아파트
175,경기도,포천시,소흘읍,송우리,4165025021,A48782304,포천영화아이닉스아파트
176,서울특별시,노원구,상계동,1135010500,A13982604,상계보람,
177,경상북도,포항북구,우현동,4711311800,A79175709,대동우방타운,
178,경상북도,김천시,신음동,4715010800,A74075909,신음2차현대아파트,
179,인천광역시,계양구,계산동,2824510200,A40780702,계산 서해그린3차 아파트,
180,경기도,양주시,백석읍,오산리,4163025022,A48283514,백석한승아파트
181,충청남도,아산시,신창면,남성리,4420041028,A33688203,아산 한미금강아파트
182,광주광역시,광산구,산월동,2920011700,A50630506,첨단호반3-3차,
