시군구,방문자 수,관광명소,기타,숙박,음식점,카페,A10,A11,A12
부산광역시 북구,12203564,3,2,1,3,8,4.33,4,3.91
부산광역시 사상구,14909226,0,4,2,2,3,4.5,3.96,3.92
부산광역시 사하구,13011480,4,8,1,5,2,4.32,4.08,4.05
부산광역시 서구,10681311,8,11,3,2,3,4.34,4.03,3.96
부산광역시 수영구,21638974,3,1,2,7,25,4.22,4.1,3.97
부산광역시 연제구,16093983,1,2,0,2,7,4,3.97,3.88
부산광역시 영도구,7672511,8,10,1,2,4,4.4,3.96,3.92
부산광역시 중구,16380620,1,2,2,1,3,4.25,4,3.98
부산광역시 해운대구,41543754,10,11,18,21,21,4.24,4.12,4.02
부안군,8305178,7,5,16,0,2,4.33,4.11,3.95
부여군,6669455,3,10,4,0,2,4.29,4.13,4.01
부천시,35697806,1,10,0,16,46,4.15,4.17,4.05
사천시,10749055,7,8,17,2,1,4.31,4,3.94
산청군,6756851,0,3,20,0,0,4.32,4.05,3.98
삼척시,8586812,12,13,31,0,4,4.38,4.04,4.02
상주시,7957210,2,8,7,0,3,4.21,4.03,3.97
서귀포시,39371469,45,42,190,28,46,4.37,3.94,3.96
서대문구,28755350,1,5,0,3,11,3.8,4.13,4.04
서산시,10484881,4,1,9,0,10,4.2,4.03,3.97
서천군,6103684,4,3,9,0,1,4.2,4,3.89
서초구,65675204,1,12,0,4,20,4.33,4.09,4.05
성남시,72576971,4,14,0,20,70,4.11,4.16,4.05
성동구,32024962,4,7,0,6,14,4.19,4.07,4.03
성북구,22913019,1,10,0,4,25,0,0,0
성주군,5581487,2,3,11,0,3,3.75,3.92,3.96
세종시,18116176,8,16,5,4,16,4.09,4.14,3.98
속초시,19443033,7,9,12,20,11,4.24,4.1,4.03
송파구,66769373,1,11,0,12,44,4.17,4.15,4.02
수원시,63268553,8,32,0,28,98,4.08,4.13,4.03
순창군,3486708,6,6,4,0,1,4.25,4.2,4.2
순천시,15558789,2,10,12,6,16,4.21,4,4.17
시흥시,29130254,3,9,0,15,38,4.16,4.06,3.98
신안군,4849176,4,2,4,0,0,4.36,4.09,4.1
아산시,21412149,5,4,10,2,34,4.26,4.04,3.99
안동시,10821969,2,10,7,3,6,4.17,4.13,4.06
안산시,39936404,8,16,33,24,38,4.13,4.11,4.07
안성시,16585145,7,5,14,3,21,4.12,3.96,3.85
안양시,37194769,1,6,2,8,32,4.11,4.12,4.04
양구군,1814851,3,4,4,0,0,4.33,4.11,4.08
양산시,21105082,3,7,8,8,26,4.17,4,3.97
양양군,12196304,8,4,62,17,11,4.21,4.12,4
양주시,18181646,10,8,12,21,21,4.16,4.11,4.05
양천구,21140006,2,10,0,3,16,4,4.06,4
양평군,17732502,11,9,78,24,20,4.2,4.04,4.03
여수시,22429413,9,11,48,11,14,4.22,4,4
여주시,15901010,4,2,12,4,11,4.21,4.03,4.03
연천군,5737694,2,2,33,0,2,4.06,4.13,4.05
영광군,5308324,3,3,2,2,0,4.3,4.1,4.05
영덕군,7626389,8,8,30,2,1,4.13,4.12,4.07
영동군,4124597,2,0,4,0,0,4.1,4.08,4.02
영등포구,59053622,2,5,0,3,15,4.07,4.06,3.99
영암군,5624367,0,3,4,1,3,4.13,3.8,4
영양군,1376345,4,1,4,0,1,4,4.11,4.01
영월군,6065958,2,5,27,1,2,4.22,4.04,3.94
영주시,6078970,0,4,7,1,1,4.06,4.11,4.03
영천시,9121695,4,5,5,1,5,4.25,4.06,3.95
예산군,9143844,3,8,10,1,3,4.19,3.97,3.94
