,시군구,PC1,PC2,PC3
0,가평군,5.203522430792188,1.2473104881522425,4.1030888801584435
1,강남구,2.629212324405625,0.49418844822304964,-3.4943524950303106
2,강동구,-0.6393155271080229,1.0230917935659019,-0.8304468005966348
3,강릉시,3.251072018586676,0.7817015230374406,0.6972434077851305
4,강북구,-0.3081801685055599,-0.45955757151333887,-0.5062168831155391
5,강서구,1.5235835665177204,0.3540327500144663,-1.5844070866469315
6,강원도 고성군,-0.5405997814460443,-2.136453402885738,0.5212115893026903
7,강진군,-1.2717686988592527,-0.7401902917593083,0.5075534806196472
8,거제시,1.6248498592483183,-0.08558960787513907,2.0524631990009343
9,거창군,-1.191388430717341,-1.241451982605689,0.440698160291489
10,경남 고성군,-1.0606664904473495,-0.5314710626263548,0.6367901718701753
11,경산시,-0.47617273457216036,0.10453933689406308,-0.324048838269281
12,경주시,4.091634536560193,0.8849737680995974,1.7953274331685134
13,계룡시,-2.496695030578515,3.278154919858688,0.5453002966157331
14,고령군,-1.8256986083055606,0.44007021912752387,0.39669939525014797
15,고양시,6.144320276190004,2.1224919023820505,-3.471637927265194
16,고창군,-1.9888519933038404,4.792010329099322,0.9079111345642331
17,고흥군,-1.5069736777462384,-0.09302098380091756,0.42763017795050945
18,곡성군,-1.8096905006374018,0.8679874086230867,0.4420686522240267
19,공주시,-0.03716713629272272,0.10552979745963363,0.26141817363588205
20,과천시,-1.3577764085132904,-0.2951627283287759,-0.01797017355027
21,관악구,-0.5991052691465991,0.1158462284791959,-0.9440087079919327
22,광명시,-0.512933778690536,0.14963687911131865,-0.34485040983510173
23,광양시,-1.4578684467858527,2.1436409813585837,0.5190783551728018
24,광주광역시 광산구,0.22708460480136086,-0.3124178207775081,-0.9736774981884182
25,광주광역시 남구,-0.9230454661883183,-0.5019075184911632,-0.36510224964761023
26,광주광역시 동구,-0.8679303365504827,-1.4542337011160047,-0.3345235419240721
27,광주광역시 북구,0.1288741822318208,-0.5558966494193094,-0.5663009229437049
28,광주광역시 서구,-0.4450780513655598,-0.3326984368761389,-0.8638053754047772
29,광주시,1.4500729291825414,-0.057006304758358564,-0.5347574962118148
30,광진구,-0.3502789678347134,-0.5056495844069315,-1.2413360325879053
31,괴산군,-1.0857514229794347,-0.8829250054799598,0.5579868897825732
32,구례군,-1.226417324618537,-0.7270576444724324,0.5827666182493415
33,구로구,-0.7670698023136462,-0.29963371237455333,-0.8634973196516051
34,구리시,-0.5733702408015674,-1.9327279079602961,-0.22665938592404328
35,구미시,0.4823533308174581,-1.425751200507411,-0.16298888706110987
36,군산시,-0.6636008282363618,3.311027549610465,0.4172427664942935
37,군위군,-1.9938445059233483,-0.07407272175173216,0.02993524416158819
38,군포시,-0.13825046889707207,-0.8922089026422396,-0.03652335864734918
39,금산군,-1.2499222019412264,-0.2965432328172935,0.42550892847050475
40,금천구,-1.8051187429894193,2.035728972131711,-0.8501460949381305
41,김제시,-1.2185179844923075,-0.22763870721094157,0.15351635751476048
42,김천시,-1.8792590175211643,2.462583065601259,0.40222607309080866
43,김포시,2.9538460023784188,0.7946923126479165,-1.275269137460473
44,김해시,0.7189516816115145,1.0300145233430587,-0.6066292618477029
45,나주시,-0.8432189342208378,0.6112280749948507,0.11147966544853748
46,남양주시,5.203593718457048,1.7741805582643408,-1.8704242504874453
47,남원시,-1.6464000028649142,0.13692002733718125,0.13979812809760372
48,남해군,0.4606817527255263,0.20765364815580684,2.366836645324875
49,노원구,0.4004464144361666,0.12515064063933304,-0.14220226039860046
50,논산시,-1.093416809316325,0.34580355158185,0.4093820624883813
51,단양군,-1.390375736361056,0.07166670123773873,0.5840142546375162
52,담양군,-0.3893770328644067,0.5099903399299186,0.29528975058578655
53,당진시,-0.23926431025681927,-0.14163868381536998,0.16857347134700057
54,대구광역시 남구,-1.0296745507679919,0.6469696701838867,-0.32595611796357576
55,대구광역시 달서구,0.25951704768531336,-0.0819715424710698,-0.8211042301627883
56,대구광역시 달성군,0.380561771783629,-0.18131462275535995,-0.24833966965158033
57,대구광역시 동구,0.7034966012809613,-0.48572271453753607,-0.9316722664618878
58,대구광역시 북구,-0.55966939772346,-0.1179073887640116,-0.5297467384939237
59,대구광역시 서구,-1.6597856585375068,0.5250027184457008,-0.11101275902721607
60,대구광역시 수성구,0.09520630198259152,0.2903374266531706,-0.40201646617594633
61,대구광역시 중구,-0.4647725981539579,-0.1383944633952269,-1.022371046651644
62,대전광역시 대덕구,-0.2782959635523957,-0.664054079862844,0.08668280944173366
63,대전광역시 동구,-0.6733135673094688,0.10379226599871771,-0.02932503815919627
64,대전광역시 서구,1.0312196762585817,0.09435120252125447,-1.4587112529822197
65,대전광역시 유성구,0.546588942357285,0.5231084292555945,-0.834650373358804
66,대전광역시 중구,-0.4809940178180262,-0.7933548442531747,-0.5184657494049261
67,도봉구,-1.1077474325716552,-0.02695352505862183,-0.17369130600881144
68,동대문구,-0.5814974292869354,-0.4919111395696183,-0.40127217555221684
69,동두천시,-1.260423160197186,-0.5588348924737285,0.6207874472717584
70,동작구,-0.853226803972492,-0.10244205418105132,-0.7643368197493944
71,동해시,0.048952187323331176,-0.40372412345937847,0.870481331102989
72,마포구,3.491674746644318,1.0781461727885435,-2.7429827476238815
73,목포시,0.3150079364075919,0.41922035436432353,0.04842701566928245
74,무안군,-1.0745131583275005,0.42168270778640876,0.2291992934022505
75,무주군,-1.4775319699786786,-0.014079450165422412,0.7018046423002158
76,문경시,-1.1404515188343665,0.21790583589841328,0.4392423508661576
77,밀양시,0.1697381229094322,0.8360726885967315,0.7155851041606518
