,시군구,PC1,PC2,PC3
0,가평군,5.293203539494864,1.2822997732794834,3.2632936558869137
1,강남구,2.659234619930195,-0.590934824123085,-3.2676729218148894
2,강동구,-0.5484870049883891,0.4292725504423806,-2.38648082438266
3,강릉시,3.2850150717427695,0.8098960836323136,0.6108539295192484
4,강북구,-0.3920742283020592,0.265372173516329,0.3818896623169804
5,강서구,1.5314545576491545,-0.07084335392437392,-1.5391078635598092
6,강원도 고성군,-0.6980748620343066,-3.1298706459596373,1.2556420854374142
7,강진군,-1.3692252217758076,0.0047443318858796085,1.1180002740341937
8,거제시,1.5972081213210438,0.06833182609482738,2.0329494525480567
9,거창군,-1.2963211911176227,-1.596263983411418,0.6824373136212276
10,경남 고성군,-1.1167559624137755,-0.6080427240806042,0.4273710294253584
11,경산시,-0.49957094273618013,0.6995034376963383,-0.16278359858338193
12,경주시,4.148703918082778,0.7326400429864485,1.4255887860209255
13,계룡시,-2.3254232810023625,6.518402973396019,-0.9676564600205368
14,고령군,-1.8074205897202467,0.7768429558922434,-0.5508125480079243
15,고양시,6.296188839923116,1.2846398059378439,-3.534859119595984
16,고창군,-1.7576571548535955,9.602685053228619,-0.7035271418753263
17,고흥군,-1.5450220001438326,0.5723102457323604,0.3235613949318844
18,곡성군,-1.79671777539673,2.374267160015524,0.02110065268479323
19,공주시,-0.05675322395990276,0.4571687481991255,0.20353281891606798
20,과천시,-1.3967474333320546,-0.36488271527020094,-0.35646589948386215
21,관악구,-0.6192031819708996,0.38596459200817995,-0.9239301165993988
22,광명시,-0.52366491829413,0.3626713061708902,-0.5360814559319108
23,광양시,-1.3612524692161931,4.665125564337573,-0.1943849833157565
24,광주광역시 광산구,0.18673022113822893,-0.5492884030140625,-0.7096304139344999
25,광주광역시 남구,-0.9642276680949979,-1.0365748531007908,-0.6617493918623181
26,광주광역시 동구,-0.9989098942916036,-1.8403282688803146,0.38285065554416237
27,광주광역시 북구,0.08300288777802353,-1.2408271980857615,-0.5666017262928885
28,광주광역시 서구,-0.46740598534689703,-1.219852474554896,-1.3237778373058677
29,광주시,1.4286018449419065,-0.5002276745371066,-0.42155987561222763
30,광진구,-0.3979533337221931,-1.0430420737739332,-1.134161141523061
31,괴산군,-1.163508566910276,-0.9413643966827591,0.7016668669786954
32,구례군,-1.309627179370884,-0.4085970923128014,0.8335485564323014
33,구로구,-0.7958287028450225,-0.7835556802442044,-1.1295584182685454
34,구리시,-0.7705561223717994,-1.543091924535675,1.612533861782628
35,구미시,0.3951268372411029,-3.1324164885742913,-0.17159028967833356
36,군산시,-0.499993188839856,6.634757462507273,-0.4802067351278623
37,군위군,-2.011535494500308,-0.017261288122663563,-0.6164283986496244
38,군포시,-0.21483087314540636,-1.6548005127348182,-0.003642934670714396
39,금산군,-1.2885716757874375,-0.217954173848138,0.12015953510200421
40,금천구,-1.6094417664757859,0.8304944263665536,-4.17637481658248
41,김제시,-1.2599157406448191,0.05838205834139701,0.03109555428572254
42,김천시,-1.760440252900768,4.7873564562387525,-0.8583459594780745
43,김포시,3.0079487218757768,0.234633572580135,-1.4122666110606947
44,김해시,0.7657040935857684,1.4052258036035834,-1.052397679005558
45,나주시,-0.8243732575491851,1.1073077620077272,-0.5019347351352086
46,남양주시,5.335535218397957,1.0793267269501265,-2.201595286024181
47,남원시,-1.6758765687184345,0.9807275558435143,-0.0012023124931715122
48,남해군,0.4376425147353988,1.1981771679080364,2.3132740335790483
49,노원구,0.39277090686854266,0.12623838828883455,-0.2594081267067089
50,논산시,-1.1064354628089692,1.1940787463557734,0.17126033479594213
51,단양군,-1.424166423729384,0.9777479419270443,0.5107881793709207
52,담양군,-0.3986480465072603,1.704887338854876,0.4194398224463275
53,당진시,-0.27361485164269017,0.09145456360510433,0.21014919813274766
54,대구광역시 남구,-1.0030932856161403,1.1055789000921892,-0.9427334935813021
55,대구광역시 달서구,0.23581668486209043,-0.23215185595061044,-0.7312262678119026
56,대구광역시 달성군,0.3527253473865133,-0.4135924260385067,-0.2465258768818931
57,대구광역시 동구,0.6554534916971899,-1.0704205988144202,-0.6503645139120304
58,대구광역시 북구,-0.5912558303433231,-0.07836984747702812,-0.5734877583190949
59,대구광역시 서구,-1.647401194516545,1.0985640399460008,-0.7658735494555404
60,대구광역시 수성구,0.09177131293878199,0.6254818154630962,-0.4282754129574155
61,대구광역시 중구,-0.4891178453299174,-0.4311916288129956,-1.1527230145331562
62,대전광역시 대덕구,-0.36093650519264336,-0.3607652093490333,0.6797749031673052
63,대전광역시 동구,-0.6977095382269843,0.6683650318343732,-0.02812945477160302
64,대전광역시 서구,1.0223664719237389,-0.2011047798597891,-1.251699141553753
65,대전광역시 유성구,0.5590511986248875,0.8112327197904792,-0.8690711986597789
66,대전광역시 중구,-0.5514795877394656,-1.213993132663373,-0.28128569398120906
67,도봉구,-1.1443673077991632,0.5576172934377733,-0.12461816504785332
68,동대문구,-0.6679230738869687,0.34084977089842,0.49633832459633376
69,동두천시,-1.3342858067776644,0.0005920192995040466,0.8895277027805606
70,동작구,-0.8661603593155877,-0.32824269319726174,-1.061485367915178
71,동해시,-0.0050410818317695874,-0.136545572985612,1.0815800538676696
72,마포구,3.5611352749862295,0.4248251597082281,-2.6658375037738606
73,목포시,0.3114826754991829,0.9558254892362787,0.006126456558798088
74,무안군,-1.0531811475864439,0.49938614894391825,-0.6400182995064039
75,무주군,-1.5211786629941881,0.9814326998011917,0.7243448643663364
76,문경시,-1.1623554842593011,1.0907263807052983,0.3164641567914583
77,밀양시,0.1967799122578778,1.6309950882777469,0.270198133043436
